window_start,window_end,wind_speed_mean,wind_speed_median,wind_speed_max,wind_dir_mean,wind_dir_median,wind_dir_std
2024-06-05 09:00:00,2024-06-05 12:00:00,2.6,2.5,7.7,269.0,269.0,21.0
2024-06-05 07:30:00,2024-06-05 10:30:00,2.4,2.4,6.4,269.0,269.0,19.0
2024-06-05 10:30:00,2024-06-05 13:30:00,2.8,2.7,7.7,273.0,273.0,19.0
2024-06-05 12:00:00,2024-06-05 15:00:00,2.5,2.5,6.7,276.0,276.0,18.0
2024-06-05 13:30:00,2024-06-05 16:30:00,2.0,1.9,6.2,280.0,280.0,22.0
2024-06-05 15:00:00,2024-06-05 18:00:00,1.1,0.9,5.0,287.0,287.0,24.0
2024-06-05 16:30:00,2024-06-05 19:30:00,0.5,0.5,2.1,301.0,301.0,42.0
2024-06-05 18:00:00,2024-06-05 21:00:00,0.4,0.4,1.8,321.0,321.0,49.0
2024-06-05 19:30:00,2024-06-05 22:30:00,0.6,0.5,2.6,310.0,310.0,40.0
2024-06-05 21:00:00,2024-06-06 00:00:00,0.6,0.5,2.6,308.0,308.0,53.0
2024-06-05 22:30:00,2024-06-06 01:30:00,0.5,0.5,1.5,313.0,313.0,56.0
2024-06-06 00:00:00,2024-06-06 03:00:00,0.5,0.5,1.5,308.0,308.0,46.0
2024-06-06 03:00:00,2024-06-06 06:00:00,0.4,0.3,1.2,58.0,58.0,100.0
2024-06-06 01:30:00,2024-06-06 04:30:00,0.3,0.3,1.1,327.0,327.0,77.0
2024-06-06 06:00:00,2024-06-06 09:00:00,0.8,0.8,3.3,119.0,119.0,79.0
2024-06-06 04:30:00,2024-06-06 07:30:00,0.6,0.5,3.3,100.0,100.0,99.0
2024-06-06 09:00:00,2024-06-06 12:00:00,1.0,0.9,3.3,277.0,277.0,55.0
2024-06-06 07:30:00,2024-06-06 10:30:00,0.9,0.8,3.3,130.0,130.0,132.0
2024-06-06 12:00:00,2024-06-06 15:00:00,2.5,2.4,7.1,276.0,276.0,21.0
2024-06-06 10:30:00,2024-06-06 13:30:00,1.7,1.6,7.1,272.0,272.0,33.0
2024-06-06 13:30:00,2024-06-06 16:30:00,2.1,2.1,6.9,277.0,277.0,25.0
2024-06-06 15:00:00,2024-06-06 18:00:00,1.2,1.0,5.3,281.0,281.0,32.0
2024-06-06 18:00:00,2024-06-06 21:00:00,1.2,1.1,6.9,282.0,282.0,35.0
2024-06-06 16:30:00,2024-06-06 19:30:00,1.3,1.1,6.9,276.0,276.0,30.0
2024-06-06 19:30:00,2024-06-06 22:30:00,0.5,0.4,2.4,305.0,305.0,69.0
2024-06-06 21:00:00,2024-06-07 00:00:00,0.5,0.4,3.6,295.0,295.0,67.0
2024-06-06 22:30:00,2024-06-07 01:30:00,1.0,1.0,3.6,278.0,278.0,26.0
2024-06-07 00:00:00,2024-06-07 03:00:00,1.3,1.3,3.7,273.0,273.0,17.0
2024-06-07 01:30:00,2024-06-07 04:30:00,1.1,1.1,3.7,279.0,279.0,21.0
2024-06-07 03:00:00,2024-06-07 06:00:00,0.7,0.7,2.9,264.0,264.0,49.0
2024-06-07 04:30:00,2024-06-07 07:30:00,0.7,0.6,2.8,246.0,246.0,51.0
2024-06-07 06:00:00,2024-06-07 09:00:00,0.8,0.8,2.8,254.0,254.0,57.0
2024-06-07 09:00:00,2024-06-07 12:00:00,0.9,0.8,4.5,278.0,278.0,61.0
2024-06-07 07:30:00,2024-06-07 10:30:00,0.9,0.8,4.5,266.0,266.0,58.0
2024-06-07 12:00:00,2024-06-07 15:00:00,0.6,0.5,2.6,316.0,316.0,77.0
2024-06-07 10:30:00,2024-06-07 13:30:00,0.6,0.5,3.1,307.0,307.0,78.0
2024-06-07 13:30:00,2024-06-07 16:30:00,0.6,0.5,4.9,294.0,294.0,84.0
2024-06-07 15:00:00,2024-06-07 18:00:00,0.6,0.5,4.9,271.0,271.0,68.0
2024-06-07 16:30:00,2024-06-07 19:30:00,0.5,0.5,1.9,283.0,283.0,51.0
2024-06-07 18:00:00,2024-06-07 21:00:00,0.4,0.4,1.3,298.0,298.0,45.0
2024-06-07 19:30:00,2024-06-07 22:30:00,0.5,0.5,2.4,302.0,302.0,41.0
2024-06-07 21:00:00,2024-06-08 00:00:00,0.5,0.4,2.4,302.0,302.0,54.0
2024-06-07 22:30:00,2024-06-08 01:30:00,0.4,0.4,1.5,298.0,298.0,57.0
2024-06-08 00:00:00,2024-06-08 03:00:00,0.5,0.5,1.4,298.0,298.0,35.0
2024-06-08 01:30:00,2024-06-08 04:30:00,0.7,0.7,1.6,297.0,297.0,23.0
2024-06-08 03:00:00,2024-06-08 06:00:00,0.6,0.5,2.1,274.0,274.0,40.0
2024-06-08 04:30:00,2024-06-08 07:30:00,0.6,0.5,2.5,237.0,237.0,49.0
2024-06-08 06:00:00,2024-06-08 09:00:00,0.7,0.6,2.5,214.0,214.0,59.0
2024-06-08 09:00:00,2024-06-08 12:00:00,1.1,1.0,4.2,229.0,229.0,70.0
2024-06-08 07:30:00,2024-06-08 10:30:00,0.8,0.8,4.2,188.0,188.0,65.0
2024-06-08 10:30:00,2024-06-08 13:30:00,1.1,1.0,3.9,260.0,260.0,49.0
2024-06-08 12:00:00,2024-06-08 15:00:00,1.2,0.9,9.8,274.0,274.0,55.0
2024-06-08 13:30:00,2024-06-08 16:30:00,1.7,1.5,9.8,284.0,284.0,38.0
2024-06-08 16:30:00,2024-06-08 19:30:00,1.3,1.2,4.2,262.0,262.0,34.0
2024-06-08 15:00:00,2024-06-08 18:00:00,1.8,1.7,6.9,278.0,278.0,20.0
2024-06-08 18:00:00,2024-06-08 21:00:00,0.8,0.8,2.8,248.0,248.0,45.0
2024-06-08 19:30:00,2024-06-08 22:30:00,1.1,1.1,4.2,255.0,255.0,37.0
2024-06-08 21:00:00,2024-06-09 00:00:00,1.5,1.4,4.2,261.0,261.0,23.0
2024-06-08 22:30:00,2024-06-09 01:30:00,1.5,1.5,4.6,262.0,262.0,23.0
2024-06-09 00:00:00,2024-06-09 03:00:00,1.4,1.3,4.6,261.0,261.0,23.0
2024-06-09 01:30:00,2024-06-09 04:30:00,0.9,0.8,3.7,259.0,259.0,36.0
2024-06-09 03:00:00,2024-06-09 06:00:00,0.5,0.4,2.3,234.0,234.0,62.0
2024-06-09 04:30:00,2024-06-09 07:30:00,0.6,0.5,2.7,238.0,238.0,59.0
2024-06-09 06:00:00,2024-06-09 09:00:00,0.8,0.7,2.7,252.0,252.0,41.0
2024-06-09 07:30:00,2024-06-09 10:30:00,0.7,0.6,2.2,219.0,219.0,61.0
2024-06-09 09:00:00,2024-06-09 12:00:00,0.6,0.5,2.7,174.0,174.0,93.0
2024-06-09 10:30:00,2024-06-09 13:30:00,0.6,0.4,2.7,107.0,107.0,115.0
2024-06-09 12:00:00,2024-06-09 15:00:00,0.6,0.5,2.4,115.0,115.0,120.0
2024-06-09 16:30:00,2024-06-09 19:30:00,0.6,0.5,2.7,287.0,287.0,105.0
2024-06-09 15:00:00,2024-06-09 18:00:00,0.5,0.4,3.1,336.0,336.0,104.0
2024-06-09 13:30:00,2024-06-09 16:30:00,0.6,0.4,3.1,6.0,6.0,116.0
2024-06-09 18:00:00,2024-06-09 21:00:00,0.6,0.6,2.7,280.0,280.0,107.0
2024-06-09 19:30:00,2024-06-09 22:30:00,0.7,0.7,3.1,287.0,287.0,85.0
2024-06-09 21:00:00,2024-06-10 00:00:00,0.6,0.5,3.1,314.0,314.0,68.0
2024-06-09 22:30:00,2024-06-10 01:30:00,0.7,0.5,3.0,301.0,301.0,58.0
2024-06-10 00:00:00,2024-06-10 03:00:00,1.0,1.0,3.0,278.0,278.0,27.0
2024-06-10 01:30:00,2024-06-10 04:30:00,0.8,0.8,2.7,266.0,266.0,65.0
2024-06-10 03:00:00,2024-06-10 06:00:00,0.5,0.5,2.6,249.0,249.0,79.0
2024-06-10 04:30:00,2024-06-10 07:30:00,0.7,0.6,3.1,271.0,271.0,44.0
2024-06-10 06:00:00,2024-06-10 09:00:00,1.4,1.3,5.2,276.0,276.0,25.0
2024-06-10 07:30:00,2024-06-10 10:30:00,2.0,2.0,5.2,269.0,269.0,19.0
2024-06-10 09:00:00,2024-06-10 12:00:00,2.0,1.9,5.2,260.0,260.0,29.0
2024-06-10 10:30:00,2024-06-10 13:30:00,1.5,1.5,5.2,252.0,252.0,39.0
2024-06-10 12:00:00,2024-06-10 15:00:00,1.7,1.6,5.6,260.0,260.0,33.0
2024-06-10 13:30:00,2024-06-10 16:30:00,2.2,2.1,6.1,266.0,266.0,20.0
2024-06-10 15:00:00,2024-06-10 18:00:00,2.3,2.2,6.1,268.0,268.0,18.0
2024-06-10 16:30:00,2024-06-10 19:30:00,1.9,1.8,5.7,271.0,271.0,16.0
2024-06-10 18:00:00,2024-06-10 21:00:00,1.7,1.7,4.4,271.0,271.0,15.0
2024-06-10 19:30:00,2024-06-10 22:30:00,1.8,1.7,4.4,272.0,272.0,16.0
2024-06-10 21:00:00,2024-06-11 00:00:00,1.6,1.5,5.3,280.0,280.0,18.0
2024-06-10 22:30:00,2024-06-11 01:30:00,1.7,1.6,5.3,283.0,283.0,22.0
2024-06-11 00:00:00,2024-06-11 03:00:00,1.8,1.7,4.9,282.0,282.0,21.0
2024-06-11 01:30:00,2024-06-11 04:30:00,1.6,1.5,4.7,276.0,276.0,19.0
2024-06-11 03:00:00,2024-06-11 06:00:00,1.4,1.4,4.5,276.0,276.0,22.0
2024-06-11 06:00:00,2024-06-11 09:00:00,0.9,0.9,3.9,277.0,277.0,50.0
2024-06-11 04:30:00,2024-06-11 07:30:00,1.1,1.1,4.5,280.0,280.0,37.0
2024-06-11 07:30:00,2024-06-11 10:30:00,0.9,0.9,3.8,272.0,272.0,55.0
